                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2553,                 4.6244,                0.92345,                0.78653,                0.67499,                0.79095,                0.52786,                 1.0892,                 1.3579,                0.86188,             0.00040675,             0.00040675,             0.00040675
                      2,                0.98536,                0.98658,                0.84974,                0.84975,                0.75806,                0.88596,                0.62219,                0.99952,                0.97247,                0.86126,             0.00081526,             0.00081526,             0.00081526
                      3,                 1.0348,                0.85292,                0.85787,                0.87085,                0.77734,                0.85728,                0.65902,                 0.8693,                0.90855,                0.82916,              0.0012155,              0.0012155,              0.0012155
                      4,                 0.9891,                 0.7392,                0.85213,                0.90936,                0.79369,                0.88487,                0.62643,                0.92056,                0.75969,                0.83526,              0.0012129,              0.0012129,              0.0012129
                      5,                0.93249,                0.66027,                 0.8391,                 0.8827,                0.85111,                0.89973,                0.64674,                0.89535,                 0.6232,                0.83738,              0.0012005,              0.0012005,              0.0012005
                      6,                0.88052,                0.59482,                 0.8274,                0.95951,                0.86182,                0.91406,                0.66748,                0.91218,                0.57571,                0.83893,              0.0011881,              0.0011881,              0.0011881
                      7,                0.86103,                0.60955,                0.83575,                0.94818,                0.79842,                0.91684,                0.71469,                0.76616,                0.56471,                0.81088,              0.0011757,              0.0011757,              0.0011757
                      8,                0.86583,                0.57725,                0.83192,                0.91981,                0.87167,                0.93767,                0.72993,                0.75937,                0.51051,                0.80644,              0.0011634,              0.0011634,              0.0011634
                      9,                0.85688,                0.57092,                 0.8264,                0.94497,                0.86515,                  0.928,                0.67532,                0.84073,                0.56201,                0.81265,               0.001151,               0.001151,               0.001151
                     10,                0.86006,                0.54414,                0.83197,                0.95972,                0.87636,                0.94429,                 0.7049,                 0.8414,                0.52102,                 0.8112,              0.0011386,              0.0011386,              0.0011386
                     11,                0.83165,                0.53531,                0.81685,                0.91345,                0.87937,                0.92549,                0.72496,                0.73603,                0.51017,                0.80289,              0.0011263,              0.0011263,              0.0011263
                     12,                0.78031,                0.49852,                0.82652,                0.90174,                0.91893,                 0.9585,                 0.7196,                0.77603,                0.51463,                0.81046,              0.0011139,              0.0011139,              0.0011139
                     13,                0.78066,                0.52705,                0.82154,                0.94427,                0.83545,                0.92376,                0.71059,                0.74586,                0.52684,                0.80335,              0.0011015,              0.0011015,              0.0011015
